Japanese,English
お坊さん,"monk, priest"
赤ん坊,baby
盛り上がる,"become lively, get fired up"
盛る,"heap up, fill"
登場,"appearance on stage, appearance"
商業,"commerce, trade"
盛ん,"prosperous, active"
万年筆,fountain pen
筆記用具,"writing materials, pens and pencils"
筆,"writing brush, penmanship"
筆記試験,written examination
リズム,rhythm
戦後,postwar period
混乱,"disorder, confusion"
乱れる,"be disordered, be disturbed"
準備,"preparation, setup, provision, reserve"
整備,"maintenance, servicing"
整う,"be in order, be adjusted"
備える,"provide for, furnish"
守備,"defense, fielding"
手伝い,"help, assistant"
予備,"reserve, spare"
ブラシ,brush
髪の毛,hair
毛布,blanket
毛,"hair, wool"
みんな,"all, everybody"
分ける,"divide into parts, sort, share"
お菓子,"sweets, snacks"
つまむ,munch on
半分,half
お土産,souvenir
順々に,"by turns, in order"
お釣り,change (of money)
確かめる,"make sure of, confirm"
名人,"master, master hand"
釣る,"angle, fish"
釣り,angling
釣り合う,"balance, match"
釣り合い,"balance, proportion"
弱い,weak
火力,"heating power, heat"
弱まる,"weaken, abate"
弱める,"weaken, lower"
弱点,weak point
弱気,"timid, weak-spirited"
弱る,"weaken, be debilitated"
あいにく,unfortunately
後戻り,"turning back, retreat"
途中,"on the way, half way"
用途,"use, service"
下車,"get off, stopover"
落とす,"drop, omit"
悲しむ,"feel sad, lament"
別れ,"separation, parting"
乗り越える,"overcome, get over"
まして,much more
悲しい,sad
悲鳴,"shriek, scream"
検査,"inspection, examination"
不安,"uneasiness, anxiety"
大便,"stool, feces"
ペン,pen
貸し出す,"lend, lend out"
消しゴム,eraser
貸し出し,"lending service, checking out"
貸す,"lend, lease"
貸し,"loan, renting"
講義,lecture
休講,cancellation of lecture
テーマ,"the theme, the subject"
四季,the four seasons
冬季,winter season
田,"rice field, rice paddy"
季節,season
田植え,rice planting
落ち葉,fallen leaves
夏季,"summer, summer season"
沈む,"sink, set"
沈める,"sink, submerge"
引き上げる,"pull up, salvage"
地平線,horizon
夕日,setting sun
西,"west, western"
水平線,horizon
ブーム,boom
早寝,going to bed early
害,"harm, damage"
健康,health
取得,acquisition
チョーク,chalk
黒板,blackboard
まな板,chopping board
板,"board, plank"
税,"tax, duty"
小包,"parcel, package"
包む,"wrap, pack"
包み紙,wrapping paper
包み,"package, parcel"
知り合い,acquaintance
問屋,"wholesale store, wholesaler"
同居,living together
居る,be present
居る,"be present, stay (humble)"
居間,living room
間,"interval, duration of time"
居眠り,"doze, nap"
乗り越す,ride past
ご存じ,know (honorific)
保存,"preservation, conservation"
生存,"existence, survival"
低温,low temperature
存じる,"think, know"
身近,"near oneself, close to one"
統計,statistics
統一,"unity, coordination"
統合,"integration, combination"
保守,"conservation, maintenance"
伝統,"tradition, convention"
対象,"target, object"
気象,weather condition
象,elephant
現象,phenomenon
印象,impression
組み合わせ,"combination, assortment"
平たい,"flat, level"
割る,"divide, crack, split"
番,"one's turn, watch"
草花,plants and flowers
草,"grass, weed"
鉄道,railway
熱する,"heat, become hot"
地下鉄,subway
国鉄,Japan National Railways
私鉄,private railway
乗り換える,"change, transfer"
技師,"engineer, technician"
師走,December
教師,"teacher, instructor"
歯科,dentistry
関わる,"involve, concern"
内容,contents
容器,"receptacle, container"
会談,"conversation, meeting"
美容院,beauty shop
余る,"remain over, be in excess"
余り,"remainder, leftover"
かっと,"lose one's temper, fly into a rage"
余地,"room, space"
余計,"excess, needless"
余分,"excess, extra"
きれ,a cut of cloth
握手,"handshake, handshaking"
差し出す,"submit, stretch out"
弱み,"weakness, shortcoming"
握り締める,"squeeze, grip"
両手,both hands
握る,"grasp, make hand-rolled sushi balls"
少女,girl
子供,"child, kid"
騒ぐ,"make a racket, mess around, make a fuss"
騒ぎ,"clamor, commotion"
騒がしい,noisy
がやがや,chatter loudly
騒音,noise
騒々しい,"noisy, rowdy"
金もうけ,making money
読書,reading a book
収集,"collection, gathering"
趣味,"hobby, interest"
共通,commonality
油絵,oil painting
手軽,"easy, light"
気軽,"lighthearted, easy"
詳細,"details, particulars"
軽い,"light, light weight"
ざらざら,"rough, gritty"
転がる,"roll over, tumble"
砂,"sand, grit"
頷く,nod
反応,"reaction, response"
従う,"follow, obey"
一向に,"absolutely, at all"
示す,"show, indicate"
衆議院,"House of Representatives, Lower House"
観衆,audience
どっと,burst (out laughing)
解散,"breakup, dissolution"
大衆,"the masses, the populace"
品,"article, item"
合計,sum total
年収,annual income
金額,"amount of money, sum"
秋風,autumn breeze
秋,"autumn, fall"
行楽,"excursion, outing"
木の葉,tree leaves
秋分,autumnal equinox
うまい,"delicious, tasty"
寿司,sushi
夕飯,"evening meal, supper"
昼食,lunch
出前,home delivery of food
上,"upper, best"
富む,"be rich, abound in"
見える,"be visible, can see"
高さ,height
屋上,"housetop, roof"
登る,"climb, mount, go up"
国際的,international
国際化,internationalization
交際,"association, friendship"
際,"occasion, time"
国際,international
実際,"truth, actual state"
総合,"synthesis, integration"
総数,total
総会,general meeting
行き,going
幹,tree trunk
速さ,speed
時速,speed per hour
速度,"speed, velocity"
新幹線,"Shinkansen, Bullet Train"
乗り遅れる,"miss (a train, bus, etc.)"
書物,"book, volume"
弁当,"box lunch, picnic lunch"
弁論,"discussion, oral proceedings"
弁護,defense
ついに,"at last, finally"
バッジ,badge
弁護士,"lawyer, attorney"
役,"role, part"
張り切る,"go all out, make efforts"
トイレ,toilet
ほうき,broom
掃除,cleaning
見違える,"mistake, fail to recognize"
当番,"being on duty, person on duty"
急速,"rapid, swift"
近代,modern times
展開,"unfolding, development"
発展,"expansion, prosperity"
死,death
恐らく,probably
顔つき,"face, expression"
恐れる,"fear, apprehend"
引っ込む,"draw back, pull in"
食う,"eat, live on"
腹一杯,full stomach
腹,belly
広告,"public notice, advertisement"
ワープロ,word processor
求人,recruiting
仕上げる,"finish, complete"
報告,report
延びる,"extend, be postponed"
延ばす,"extend, postpone"
延期,"postponement, deferment"
明々後日,three days from today
延長,"extension, prolongation"
引き延ばす,"extend, prolong"
易しい,"easy, simple"
例え,"metaphor, simile"
言い換える,"express in different words, paraphrase"
容易,"easy, simple"
光,"light, flash"
伸ばす,"stretch, straighten"
筋道,"method, logic"
筋,muscle
大型,"large, large scale"
小型,small-sized
型,"type, mold"
反映,reflection
立派,"fine, excellent"
派手,"showy, flashy"
派出所,"branch office, police box"
派遣,"dispatch, sending"
個々,"individually, one at a time"
負担,"burden, charge"
個性,individuality
個人,individual
何百,"several hundred, hundreds"
百,hundred
自身,self
疑う,"doubt, be suspicious"
疑わしい,"doubtful, questionable"
疑問,"question, doubt"
練習,"practice, training"
グラウンド,sports field
成果,"result, fruit"
校庭,"schoolyard, campus"
教養,"culture, education"
休養,"rest, recreation"
養う,"foster, support"
腕,arm
四つ,four (things)
腕時計,wrist watch
コック,"cook, chef"
怪我,injury
恋人,"lover, sweetheart"
恋,"love, romance"
失恋,broken heart
引きずる,"drag along, trail"
恋愛,love
初恋,first love
恋する,"love, fall in love with"
煙突,"chimney, smokestack"
煙,"smoke, fumes"
嫌がる,"dislike, hate"
領事館,consulate
領収書,"receipt, voucher"
領土,"territory, domain"
大統領,president (of a country)
未知,unknown
投げる,"throw, abandon"
ボール,ball
投資,investment
投書,letter from a reader
分散,dispersion
名所,"noted place, sights"
散る,"scatter, fall"
葉,"leaf, needle"
ひらりと,"lightly, delicately"
率直,"frank, openhearted"
効率,efficiency
確率,"probability, rate"
軽率,"rash, thoughtless"
能率,efficiency
比率,"ratio, percentage"
互い,each other
お互い,each other
相互,"mutual, reciprocal"
交互,"by turns, alternatively"
実力,"real ability, capability"
再会,reunion
めったに,rarely
かんかん,furious
当然,"natural, as a matter of course"
向ける,"turn toward, point at"
被せる,cover (something)
飲料水,drinking water
被害,"damage, harm"
物資,"commodities, goods"
政府,"government, administration"
外交,"diplomacy, foreign relations"
府立,prefectural
小さい,small
花,flower
咲く,"bloom, blossom"
桜,"cherry tree, cherry blossom"
静まる,"become quiet, calm down"
冷静,"cool, calm"
静か,"quiet, tranquil"
住宅,"housing, residence"
騒動,"uproar, riot"
不幸,"unhappiness, misfortune, bereavement"
幸せ,"happiness, good fortune"
幸運,"good fortune, good luck"
不幸せ,"unhappiness, misfortune"
五,five
家族,family
五十音,Japanese syllabary
撮る,"photograph, shoot, film"
アップ,close-up
水中,"in the water, underwater"
プリント,print
レントゲン,X-rays
ビデオ,video
姿,"figure, appearance"
現す,"show, reveal"
書道,Japanese calligraphy
受け身,"passiveness, passive voice"
常に,"always, at all times"
姿勢,"posture, attitude"
係,person in charge
一切,"not at all, not one bit"
関係,"relation, relationship"
無関係,"irrelevant, unrelated"
ガラス,glass (material)
花瓶,flower vase
空,"emptiness, hollow"
瓶,"bottle, flask"
向き,"direction, turn"
退学,withdrawal from school
退院,discharge from a hospital
退職,"retirement, resignation"
早退,early departure
許可,"permission, approval"
影,"shadow, shade"
撮影,"photographing, shoot"
五日,"five days, 5th of the month"
祝日,"holiday, festival day"
祝う,"celebrate, congratulate"
お祝い,celebrate
スケート,"skate, skates"
鶴,"crane, stork"
湖,lake
人工,artificial
戦争,"war, battle"
争い,"conflict, battle"
地球,the Earth
丸い,round
真ん丸,perfect circle
丸,"circle or sphere, wholeness"
くしゃくしゃ,"messy, scrunch"
パイプ,pipe
詰まる,"be stuffed, be stopped up"
着替え,change of clothes
詰める,"stuff, fill"
無理やり,"by force, against one's will"
ぎっしり,tightly
青空,blue sky
雲,cloud
間,interval
現れる,"appear, emerge"
他方,"one (of two), the other"
近視,"nearsightedness, shortsightedness"
視点,viewpoint
無視,"ignoring, disregarding"
適する,"suit, be suitable"
適当,"suitable, appropriate"
適用,"application (of a technology etc.), adoption"
適切,"appropriate, adequate"
適度,"moderate, proper"
嬉しい,"happy, glad"
思いやり,"thoughtfulness, kindness"
お目に掛かる,"meet, have the honor of seeing"
もしも,"if, if ever"
大して,"(not) very, (not that) much"
どんなに,how much
極めて,"exceedingly, extremely"
北極,North Pole
積極的,"positive, active"
習慣,"custom, habit"
慣れる,grow accustomed to
慣れ,"getting used to, habituation"
改める,"reform, change"
ジャーナリズム,journalism
専攻,"major, specialization"
物理,"physics, natural law"
美術,"art, fine arts"
人文科学,humanities
攻める,"attack, take the offensive"
会長,"president, chairperson"
挨拶,"greet, greeting"
議長,"chairman, president"
学長,college president
にこやか,"smiling, beaming"
閉会,"closing, adjournment"
年始,beginning of the year
基づく,be based on
基本,"basis, foundation"
論理,logic
基準,"standard, criterion"
反省,"reflection, repentance"
外務省,Ministry of Foreign Affairs
省く,"omit, dispense with"
帰省,homecoming
不完全,"imperfection, incompleteness"
完全,"perfect, complete"
全体,"whole, total"
完成,"completion, finish"
要する,"require, need"
国立,national
理由,"reason, cause"
経由,"via, through"
自由,freedom
思想,"thought, conception"
言論,"speech, discussion"
不自由,"inconvenience, discomfort"
カメラ,camera
壊す,"break, destroy, smash"
壊れる,"break, break down, get out of order"
体温計,(clinical) thermometer
機械,machine
掃除機,vacuum cleaner
加える,"add, include"
少々,"a little, a few"
塩,salt
ちょっと,"just a moment, just a little, easily"
海水,seawater
調味料,"seasoning, flavoring"
横書き,horizontal writing
横,"side, width across"
横断歩道,"pedestrian crossing, crosswalk"
横断,"crossing, traversing"
横顔,"profile, face seen from side"
横切る,"cross, go across"
祭り,festival
打ち上げる,shoot up
祭日,"national holiday, festival day"
焼きそば,pan-fried noodles
構成,organization
構想,"conception, design"
構える,set up (shop)
結構,quite
構う,"mind, care for"
結構,"all right, no thank you"
駐車場,parking area
後ろ向き,facing backward
取り締まり,"regulation, crackdown"
駐車,parking
起こす,"bring about, cause"
説く,"explain, preach"
暴力,"violence, force"
乱暴,violence
簡単,"simple, easy"
ルール,rule
済ませる,"finish off, get done with"
割合に,"relatively, rather"
夢中,be absorbed
文書,"document, writing"
女優,actress
実現,"implementation, realization"
夢,dream
恐ろしい,"terrible, awful"
きらきら,"shining, sparkling"
昨夜,"last night, last evening (colloquial)"
星,"star, planet, spot"
発見,"discovery, revelation"
九日,"nine days, 9th of the month"
九,nine
入学,"enter a school, matriculate"
九つ,nine (things)
九,nine
皮,"peel, fur"
皮肉,"cynicism, irony"
むける,"come off, peel"
むく,"peel, pare"
毛皮,fur
おば,(one's own) aunt
府,urban prefecture
着く,"arrive, make contact, settle"
両親,parents
転勤,transfer
引っ越す,"move, change quarters"
支社,branch office
朝日,morning sun
確か,"for sure, for certain"
昇る,"rise,"
一段と,"greater, further"
上昇,"ascension, rising"
課長,section chief
皆,"all, everybody"
フライパン,frying pan
刻む,cut fine
玉ねぎ,onion
息,breath
吸い込む,"inhale, suck in"
吸う,"inhale, suck"
たばこ,"tobacco, cigarette"
呼吸,"breathing, respiration"
吸収,"absorption, merger"
複雑,"complicated, intricate"
人間,"human being, people"
複数,"several, plural"
単数,singular
仕組み,"construction, arrangement"
感情,"feeling, emotion"
毎年,every year (formal)
月給,monthly salary
供給,"supply, provision"
時給,hourly wage
給料,"salary, pay"
預かる,"look after, be entrusted with"
利息,interest (money)
預金,"deposit, bank account"
助手,"assistant, helper"
影響,"influence, effect"
円高,appreciation of the yen
インフレーション,inflation
響く,"reverberate, vibrate"
踏む,"step on, tread on"
ブレーキ,brake
踏切,railroad crossing
かかと,heel
測る,"measure, gauge"
体重,body weight
観測,"observation, survey"
測定,measurement
改札口,"ticket barrier, wicket"
改札,ticket gate
全員,"all members, entire staff"
名札,"name badge, tag"
札,"bill, paper money"
札,"sign, billboard"
快晴,fair and clear weather
快い,"pleasant, agreeable"
床,floor
ペンキ,paint
つるつる,"smooth, slippery"
掃く,"sweep, brush"
床屋,"barber, barbershop"
目標,"target, objective"
標準,"standard, norm"
達成,achievement
明確,"clear, precise"
本年,this (current) year
才能,"talent, ability"
二流,second-rate
寄り集まる,"gather together, assemble"
芸術,"the arts, arts and crafts"
固定,"fixing, stability"
棒,"rod, stick"
細長い,"long and narrow, slender"
歴史的,historical
古代,"ancient times, antiquity"
歴史,history
興味,interest
民族,"race, people"
航空便,airmail
航空,aviation
航空機,"aircraft, airplane"
航空券,airline ticket
乗り出す,"lean forward, embark on"
海洋,"ocean, sea"
いくら,"how much, how many"
我慢,"patience, self-restraint"
下品,vulgarity
感心,admiration
限界,"limit, bounds"
自慢,"boast, pride"
じめじめ,"feel damp, clammy"
梅雨入り,start of the rainy season
梅雨明け,end of the rainy season
梅,plum blossom
梅雨,rainy season
牛肉,beef
牛,"cattle, cow"
沸かす,"boil, excite"
やかん,kettle
喜び,"joy, happiness"
沸く,"boil, erupt (in applause, cheers etc.)"
異なる,differ
同性,of the same sex
異常,"extraordinary, exceptional"
異性,opposite sex
深める,"deepen, intensify"
保証人,guarantor
保証,"guarantee, warranty"
証券,"bill, bond"
証明,"proof, evidence"
金属,metal
所属,"belonging, attachment"
付属,"attachment, belonging"
バット,bat
属する,"belong to, be one of"
川,"river, stream"
渡す,"carry across, hand over"
左右,right and left
栄える,"flourish, thrive"
バランス,balance
もうける,make a profit
株,"stocks, shares"
等しい,"equal, same"
財産,"fortune, asset"
暴落,"slump, crash"
柔道,judo
柔らかい,"soft, gentle"
柔らか,"soft, tender, gentle"
まく,sow (seeds)
失礼,"impoliteness, bad manners, I beg your parden/Goodbye"
どなた,who
場,"opportunity, occasion"
お礼,"thanks, reward, return present"
礼,"bow, courtesy"
格差,"gap, disparity"
貧しい,"poor, needy"
級,"grade, class, rank"
上級,"higher grade, advanced level"
初級,elementary level
中級,intermediate level
同級生,classmate
久しぶり,after a long time
全速力,"full speed, full steam"
最適,optimum
適応,"adaptation, adjustment"
記事,"article, story"
環境,"environment, circumstance"
保護,"protection, safeguard"
回復,"recovery, rehabilitation"
復習,review
景気,economic climate
設ける,"set up, establish"
復活,"revival, rebirth"
材料,"ingredients, material"
取材,"collection of data, gathering of news"
材木,"timber, wood"
高度,high degree
有害,"harmful, hazardous"
確保,securement
法則,"law, rule"
違反,"violation, offence"
原則,"principle, general rule"
反則,"foul, rule violation"
家賃,rent
運賃,passenger fare
乗車,"boarding, getting on board"
低,low
相場,"market price, speculation"
払い戻す,"pay back, reimburse"
古典,classics
辞典,dictionary
漢和,Chinese and Japanese
典型的,"typical, representative"
典型,"type, model"
百科事典,encyclopedia
とんとん,tapping
揉む,"rub, massage"
いきなり,"all of a sudden, without warning"
張る,"strain, be stretched"
党,political party
借り,"borrowing, debt"
利子,interest
図書館,library
借りる,borrow
借金,"borrowing money, debt"
資料,"materials, data"
修理,"repair, mending"
モーター,"motor, engine"
博士,Ph.D.
博士,"expert, doctor"
博物館,museum
生物,"living creature, lifeform"
くっ付く,"stick, cling"
戸棚,"closet, cupboard"
ガラス戸,glass door
薬品,"medicine, drug"
戸,"door, shutter"
各地,"every place, various parts"
大雨,heavy rain
各自,"each one, every individual"
各国,every country
音,"sound, note"
予防,"prevention, protection"
虫歯,"decayed tooth, cavity"
痛む,"feel pain, hurt"
虫,"insect, worm"
刺す,"stab, prick, sting"
保育園,"day-care center, nursery school"
定年,mandatory retirement age
迎え,"greeting, meeting"
訪ねる,"call on, to pay a visit to"
総理,"prime minister, premier"
年間,period of one year
訪れる,"visit, call on"
外相,Minister of Foreign Affairs
強さ,"strength, power"
現代,"present age, modern times"
驚かす,"surprise, amaze"
気絶,fainting
縮む,"shrink, contract"
縮み,shrinkage
縮まる,"be shortened, be contracted"
短縮,"shortening, reduction"
取り扱い,"handling, manipulation"
取り扱う,"handle, deal in"
平等,"equality, impartiality"
紅葉,"autumn leaves, crimson foliage"
あちらこちら,"all over, here and there"
クッキー,"cookie, biscuit"
レモン,lemon
紅茶,black tea
口紅,"lipstick, rouge"
日中,during the day
泳ぐ,swim
たくさん,"in large quantity, plenty"
兄,older brother
水泳,swimming
形成,formation
骨,"bone, frame, spirit"
骨折,"fracture, broken bone"
外科,surgery
引っ掛かる,"be caught, be trapped"
折る,"break (something), fold (something)"
破れる,"tear, rip open"
所々,"here and there, at places"
破る,"tear, break through, breach"
破壊,"breaking, destruction"
破る,defeat
障子,paper sliding-door
離れる,"separate, leave"
離す,"separate, detach"
離婚,divorce
分離,"separation, split"
離陸,takeoff
強盗,burglar; burglary
盗難,"theft, robbery"
起きる,occur
盗む,"steal, rob"
疑い,"doubt, suspicion"
逃げ出す,"make a break for, run off"
逃げ道,escape route
国外,"abroad, outside the country"
逃げる,"escape, run away"
逃がす,let (someone/something) to escape
助詞,"particle, postposition"
形容詞,adjective
動詞,verb
名詞,noun
代名詞,pronoun
ネックレス,necklace
二人,two persons
訪問,visit
不在,absence
夫妻,"husband and wife, Mr. and Mrs."
妻,(speaker's) wife
変更,"alteration, change"
夜更かし,sitting up late at night
一部,part
更に,"furthermore, still more"
緑,"green, foliage"
増やす,to increase (something)
町,"town, machi, city quarter"
緑色,green
取り戻す,"take back, recover"
薄める,"thin, dilute"
ぺらぺら,"floppy, flimsy"
薄暗い,"gloomy, dim"
味,"taste, flavor"
薄い,"thin, weak, pale"
薄着,light clothing
頂上,"summit, climax"
見下ろす,"look down, overlook"
頂く,"receive, eat"
祝い,"celebration, congratulation"
残念,"regretful, disappointing"
信念,"belief, conviction"
記念,"commemoration, memory"
記念日,"memorial day, anniversary"
不合格,"failure, disqualification"
ペンチ,pliers
方針,"policy, objective"
公式,"formal, official"
主催,"sponsorship, promotion"
オリンピック,the Olympics
催し,"event, function"
開催,"holding (of an event), opening"
催す,"feel, experience"
ごめん,sorry
免税,tax exemption
免許証,license
有効,"effective, valid"
免許,"license, permit"
洗濯機,washing machine
洗濯,"laundry, washing"
亡くす,lose (in death)
死亡,death
亡くなる,"die, pass away"
大戦,world war
癌,cancer
七,seven (Japanese origin)
七つ,seven (things)
七夕,"Tanabata Festival, Star Festival"
七,seven (Chinese origin)
半導体,semiconductor
導入,"introduction, bringing in"
指導,"leadership, guidance"
導く,"guide, lead"
コーチ,coach
設備,"equipment, facilities"
各種,"every kind, all sorts"
揃う,"be (all) together, become complete"
道具,tool
揃える,"align, make uniform"
残らず,"entirely, without exception"
拾う,"pick up, find"
落とし物,lost property
水面,surface of the water
光る,"shine, emit light"
君,you
任せる,"entrust to, leave it to"
スケジュール,schedule
連れる,"take along, bring along"
長所,"strong point, merit"
府庁,urban prefectural office
都庁,Tokyo Metropolitan City Hall
消毒,"disinfection, sterilization"
毒,"poison, harm"
有毒,"poisonous, toxic"
中毒,poisoning
気の毒,"pitiful, unfortunate"
車庫,"garage, car shed"
後,"after, afterwards"
資産,"property, assets"
非難,"criticism, blame"
総理大臣,prime minister
より,"more, further"
一層,"more, even more"
高層,"high altitude, high-rise"
そびえる,tower
大層,"very, highly"
南北,north and south
南,south
南東,southeast
南西,southwest
南極,South Pole
幼い,"young, childish"
親類,"relatives, kin"
カラー,color (loan word)
幾つ,"how many, how old"
幾ら,no matter how much
地元,"local area, one's hometown"
空中,"in the air, in the sky"
蝶蝶,butterfly
涙,tear
こぼれる,"spill, overflow"
流す,"let flow, set adrift"
思わず,"unintentionally, unconsciously"
汚染,"pollution, contamination"
頬,cheek
染める,"dye, color"
運命,"fate, fortune"
逆らう,"disobey, go against"
逆さ,"reverse, inversion"
逆さま,"upside-down, reverse"
逆,"reverse, inverse"
正式,"formal, regular"
招く,"invite, beckon, engage"
招待,invitation
講師,"speaker, lecturer"
選挙,election
式,ceremony
当選,election to office
政党,political party
挙げる,"cite, give (an example)"
臭い,"smell, odor"
臭う,stink (unpleasant)
生臭い,smelling of fish
面倒臭い,"troublesome, tiresome"
育児,"childcare, child-raising"
小児科,pediatrics
幼児,"young child, infant"
誤り,"error, mistake"
誤解,misunderstanding
地味,"plain, sober"
整える,"arrange, adjust"
相応しい,"suitable, appropriate"
装置,"equipment, device"
服装,"clothes, garments"
不規則,irregular
規則,"rule, regulation"
探す,"search for, look for"
公衆,the public
立ち入り禁止,no trespassing
禁じる,"prohibit, forbid"
禁煙,"no smoking, giving up smoking"
禁酒,abstention from alcohol
禁止,"prohibition, forbiddance"
群集,crowd
群れ,"crowd, herd"
群衆,"the masses, multitude"
社員,company employee
優秀,"excellent, exceptional"
部下,subordinate
幹部,executive
血,blood (colloquial)
出血,"bleeding, hemorrhage"
驚く,"be surprised, be startled"
トンネル,tunnel
抜く,pull out
抜ける,"come out, leave"
追い抜く,"pass, overtake"
空港,airport (large; serves the general public)
港,"port, harbor"
出迎え,"meeting, receiving"
迎える,"welcome, go out to meet, invite"
支援,"support, backing"
援助,"aid, assistance"
盛り上げる,build up excitement
年齢,"age, years"
問う,"ask, question"
区分,"division, section"
高齢,"advanced age, elderly"
急激,"sudden, abrupt"
農業,agriculture
農民,"peasants, farmers"
農家,farmhouse
農村,"farm village, agricultural community"
無害,harmless
香水,perfume
香り,"perfume, fragrance"
製作,"manufacture, production"
体操,"gymnastics, physical exercise"
誤る,make a mistake
納める,pay a tax or fee
納得,"acceptance, persuasion"
納豆,natto (fermented soybeans)
朝食,breakfast (formal)
臭い,"ill-smelling, stinking"
包丁,"kitchen knife, carving knife"
切れ,sharpness
欠点,"weak point, defect"
欠ける,"be chipped, be missing"
わさび,"wasabi, Japanese horseradish"
欠席,"absence (from school, a gathering, etc.)"
太陽,sun
隠れる,"hide, disappear"
隠す,"hide, conceal"
驚き,"surprise, amazement"
履く,"put on (shoes), wear (pants, skirt)"
履歴,"history, personal history"
履歴書,"resume, bio"
茶色,light brown
履物,footwear
合成,"composition, synthesis"
現像,developing a film
想像,imagination
踊る,to dance
踊り,"dance, dancing"
リード,"the lead, take a lead"
軽快,"light, cheerful"
田畑,fields and rice paddies
一帯,"area, vicinity"
取れる,"be harvested, be cultivated"
畑,"field, vegetable garden"
千,thousand
定期券,commuter's pass
何千,"several thousand, thousands"
評判,"fame, reputation"
評価,"evaluation, appraisal"
講演,lecture
協力,"cooperation, collaboration"
全面的,"all-out, overall"
呼び掛ける,"call to, appeal to"
迷惑,"trouble, annoyance"
飾る,"decorate, exhibit"
額,picture frame
飾り,"ornament, decoration"
英雄,hero
正に,"just, surely"
雄大,"grand, magnificent"
雄,male (animal)
柄,"pattern, design"
事柄,"matter, affair"
人柄,"character, personality"
ボタン,button
押さえる,hold down
判子,"seal, stamp"
シャッター,shutter
押し入れ,closet
救う,"save, relieve"
救い,"rescue, relief"
救助,"rescue, relief"
救急車,ambulance
しゃがむ,squat down
最先端,"cutting edge, forefront"
極端,"extreme, extremity"
端,"end, tip, edge"
先端,"tip, cusp, vanguard"
糸,"thread, yarn"
通す,"to let pass, force through"
針,"needle, needle-shaped object"
到着,arrival
遅れ,"delay, being late"
地点,"spot, site"
到底,(cannot) possibly; no matter how
到達,"arrival, attainment"
指輪,ring
大切,"important, valuable"
薬指,"third finger, ring finger"
はめる,"put on, wear (e.g., gloves, ring)"
車輪,wheel
きゅうり,cucumber
味噌,"miso, soybean paste"
衛星,"satellite, moon"
衛生的,"sanitary, hygienic"
衛生,"hygiene, sanitation"
防衛,"defense, protection"
怒り,"anger, rage"
爆発,"explosion, eruption"
理系,science
体系,"system, organization"
文系,"liberal arts, humanities"
系列,affiliation
系統,"system, lineage"
採る,"gather, pick"
採算,profit
採用,employment
採点,"marking, grading"
中途,"halfway, in the middle"
弾く,play (instruments)
弾,"bullet, shot"
弾む,"spring back, bounce"
試し,"trial, test"
爆弾,bomb
転がす,"roll, roll over"
粉,"powder, flour"
泊める,"lodge, give shelter"
所,place (can be an abstract concept)
泊まる,stay overnight
旅館,Japanese inn
高級,"high rank, high class"
乾かす,dry (something)
乾杯,"toast, drink (in celebration)"
乾く,"dry, run dry"
支える,"support, maintain"
果たす,"accomplish, fulfill (purpose, responsibility, etc.)"
責任,"responsibility, liability"
位,"rank, dignity"
無責任,irresponsibility
建築,"construction, architecture"
新築,new building
むしろ,rather
よる,"be based on, depend on"
西洋,"the West, the Occident"
確信,"firm belief, conviction"
違いない,"no mistaking it, for certain"
率,"ratio, proportion"
成功,success
消極的,"negative, passive"
製造,"production, manufacture"
家屋,"house, building"
構造,"construction, structure"
木造,wooden
椅子,chair
形,"shape, form"
車椅子,wheelchair
がたがた,rattle
よける,move out the way
汗,sweat
額,"forehead, brow"
てのひら,palm
びっしょり,soaked
玉,"bead, ball"
耳,"ear, hearing"
くっ付ける,"attach (something), stick (something)"
辛い,"spicy, salty"
こしょう,pepper
辛い,"hard, tough"
塩辛い,salty
辛い,"strict, severe"
八日,"eight days, 8th of the month"
八百屋,"vegetable store, greengrocer"
おまけ,free gift
八,eight
八つ,eight (things)
砂浜,"sandy beach, sands"
裸足,"barefoot, bare feet"
浜,"beach, seashore"
提出,submittal
提供,"offer, provide"
提案,"proposition, proposal"
レポート,"report, paper"
輸出,export
石油,"petroleum, oil"
輸入,import
規制,"regulation, control"
輸送,"transport, ship"
将来,"future, in the future"
確実,"certain, secure"
カメラマン,"photographer, cameraman"
気楽,"easygoing, comfortable"
暮らす,"live, earn one's livelihood"
法律,law
世論,public opinion
専門,"specialty, profession"
定める,"fix, determine"
消費者,consumer
週刊誌,weekly magazine
夕刊,evening edition
週刊,published weekly
月刊,published monthly
朝刊,morning edition
一種,"a type of, a kind of"
温泉,hot spring
天然,nature
年中,all year
寄る,"stop by, stop off"
役人,government official
一般,"general, common"
外来語,"loanword, foreign word"
全般,"whole, general"
玄関,"entrance, door"
ベル,bell
がさがさ,rustle
着ける,"pull up, park (a vehicle)"
ずらり,line up neatly
どうして,why
泣く,"cry, weep"
泣き顔,tear-stained face
泣き声,"tearful voice, crying"
感激,"deep emotion, moving"
荒れる,"be wild, be rough, be ruined"
荒らす,"ransack, devastate"
設定,"establishment, settings (config)"
荒い,"harsh, rough, wild"
春夏秋冬,"four seasons, all year round"
移動,"movement, transfer"
移転,"transfer, relocation"
移る,"move, shift"
パーセント,percent
物知り,"knowledgeable person, know-it-all"
楽しみ,"pleasure, something looked forward to"
老人,"old person, elderly"
一般に,"generally, in general"
限り,"limits, as far as possible"
